Id,Cn,Tc,En
1,上传积分失败,上傳積分失敗,LeafCard
2,获取排行榜失败,獲取排行榜失敗,
3,登录失败,登錄失敗,
4,上传头像失败,上傳頭像失敗,
5,上传名字失败,上傳名字失敗,
6,挑战,挑戰,
7,召唤,召喚,
8,排行榜,排行榜,
9,图鉴,圖鑒,
10,明牌挑战,明牌挑戰,
11,暗牌挑战,暗牌挑戰,
12,召唤一次,召喚一次,
13,召唤十次,召喚十次,
14,详情,詳情,
15,卡池详情,卡池詳情,
16,已获得,已獲得,
17,十连抽有一定概率获得以下一个英灵,十連抽有一定概率獲得以下一個英靈,
18,确定,確定,
19,神兵将显示在新卡面上，每张卡牌都有四个专属神兵，神兵召唤不会重复,神兵將顯示在新卡面上，每張卡牌都有四個專屬神兵，神兵召喚不會重複,
20,周排行榜,周排行榜,
21,排名区间,排名區間,
22,金币奖励,金幣獎勵,
23,元宝奖励,元寶獎勵,
24,每次召唤必定获得以下一个头像,每次召喚必定獲得以下一個頭像,
25,英灵,英靈,
26,卡面,卡面,
27,未获得,未獲得,
28,列传,列傳,
29,卡面尚未解锁,卡面尚未解鎖,
30,统计,統計,
31,头像,頭像,
32,成就,成就,
33,明牌场次,明牌場次,
34,明牌胜率,明牌勝率,
35,暗牌场次,暗牌場次,
36,暗牌胜率,暗牌勝率,
37,拥有头像,擁有頭像,
38,拥有英灵,擁有英靈,
39,完成成就,完成成就,
40,成就点数,成就點數,
41,无尽场次,無盡場次,
42,最高层数,最高層數,
43,收集成就,收集成就,
44,挑战成就,挑戰成就,
45,其他成就,其他成就,
46,出牌记录,出牌記錄,
47,选项卡,選項卡,
48,认输,認輸,
49,我方,我方,
50,VS,VS,
51,敌方,敵方,
52,现在还不能出牌,現在還不能出牌,
53,四倍金币,四倍金幣,
54,双倍金币,雙倍金幣,
55,再次挑战,再次挑戰,
56,返回主菜单,返回主菜單,
57,取消,取消,
58,广告尚未准备就绪,廣告尚未準備就緒,
59,您确定要认输吗,您確定要認輸嗎,
60,每日前3次观看奖励超级加倍!,每日前3次觀看獎勵超級加倍!,
61,排行榜刷新时间:,排行榜刷新時間:,
62,正在维护中,正在維護中,
63,金币达到上限,金幣達到上限,
64,元宝达到上限,元寶達到上限,
65,奖励来自,獎勵來自,
66,升级,升級,
67,成就,成就,
68,排行榜第{0}名,排行榜第{0}名,
69,观看广告,观看广告,
70,未领取,未領取,
71,已解锁！,已解鎖！,
72,名字太短了!,名字太短了!,
73,名字太长了!,名字太長了!,
74,名字不可用,名字不可用,
75,请输入你的昵称,請輸入你的昵稱,
76,你的昵称(3-8个字符),你的昵稱(3-8個字符),
77,昵称包含非法字符！,昵稱包含非法字符！,
78,未上榜,未上榜,
79,弃牌堆,棄牌堆,
80,账号已被封禁，详情请咨询工作人员,賬號已被封禁，詳情請諮詢工作人員,
81,当前观看广告可获得{0}金币,當前觀看廣告可獲得{0}金幣,
82,观看广告,觀看廣告,
